image_filename,image_height,image_width,Region ID,Region Type,Region Value,Region Coords,Line ID,Line Coords,Word ID,Word Coords,Word Text,Confidence
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l3,"112,183 269,183 269,193 112,193",Page1_Block6_l3_w4,"223,183 269,183 269,193 223,193","Street,",0.5057142973
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l4,"111,195 297,195 297,207 111,207",Page1_Block6_l4_w1,"111,197 185,197 185,207 111,207","Louisville,",0.5581818223
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l4,"111,195 297,195 297,207 111,207",Page1_Block6_l4_w2,"195,197 250,197 250,207 195,207",Kentucky,0.5162500143
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l4,"111,195 297,195 297,207 111,207",Page1_Block6_l4_w3,"258,195 297,195 297,207 258,207","40202,",0.348333329
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l5,"112,211 150,211 150,219 112,219",Page1_Block6_l5_w1,"112,211 150,211 150,219 112,219",U.S.A.,0.3833333254
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l6,"111,233 313,233 313,243 111,243",Page1_Block6_l6_w1,"111,233 173,233 173,242 111,242",Attention,0.4233333468
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l6,"111,233 313,233 313,243 111,243",Page1_Block6_l6_w2,"181,234 199,234 199,242 181,242",Mr.,0.6533333063
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l6,"111,233 313,233 313,243 111,243",Page1_Block6_l6_w3,"209,233 236,233 236,243 209,243",Gory,0.3975000083
0000223278.tif,1000,762,Page1_Block6,language,en-US,"111,154 397,154 397,247 111,247",Page1_Block6_l6,"111,233 313,233 313,243 111,243",Page1_Block6_l6_w4,"244,233 313,233 313,241 244,241",Xhirschncr,0.34799999
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l1,"405,147 517,147 517,156 405,156",Page1_Block7_l1_w1,"405,147 453,147 453,155 405,155",Telephone,0.2711111009
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l1,"405,147 517,147 517,156 405,156",Page1_Block7_l1_w2,"456,147 492,147 492,156 456,156",Wokin*,0.1700000018
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l1,"405,147 517,147 517,156 405,156",Page1_Block7_l1_w3,"495,148 517,148 517,155 495,155",76111,0.4320000112
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l2,"405,159 572,159 572,169 405,169",Page1_Block7_l2_w1,"405,159 460,159 460,167 405,167",Telaeriphic,0.3318181932
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l2,"405,159 572,159 572,169 405,169",Page1_Block7_l2_w2,"463,159 499,159 499,167 463,167",Addreee,0.2828571498
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l2,"405,159 572,159 572,169 405,169",Page1_Block7_l2_w3,"503,160 534,160 534,168 503,168",Export,0.2983333468
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l2,"405,159 572,159 572,169 405,169",Page1_Block7_l2_w4,"536,160 572,160 572,169 536,169",Wokir.*,0.3728571534
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l3,"405,171 460,171 460,178 405,178",Page1_Block7_l3_w1,"405,171 431,171 431,178 405,178",Telex,0.3179999888
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l3,"405,171 460,171 460,178 405,178",Page1_Block7_l3_w2,"433,171 460,171 460,178 433,178",&M101,0.3120000064
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l4,"405,181 517,181 517,190 405,190",Page1_Block7_l4_w1,"405,181 427,181 427,189 405,189",VAT,0.4166666567
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l4,"405,181 517,181 517,190 405,190",Page1_Block7_l4_w2,"431,181 450,181 450,190 431,190",Reg.,0.4174999893
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l4,"405,181 517,181 517,190 405,190",Page1_Block7_l4_w3,"453,181 468,181 468,189 453,189",No.,0.3866666555
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l4,"405,181 517,181 517,190 405,190",Page1_Block7_l4_w4,"471,182 505,182 505,189 471,189",239136S,0.3028571308
0000223278.tif,1000,762,Page1_Block7,language,en-US,"405,147 574,147 574,192 405,192",Page1_Block7_l4,"405,181 517,181 517,190 405,190",Page1_Block7_l4_w5,"507,182 517,182 517,189 507,189",to,0.2399999946
0000223278.tif,1000,762,Page1_Block9,language,en-US,"403,202 462,202 462,213 403,213",Page1_Block9_l1,"405,204 461,204 461,211 405,211",Page1_Block9_l1_w1,"405,204 439,204 439,211 405,211",Invoice,0.3785714209
0000223278.tif,1000,762,Page1_Block9,language,en-US,"403,202 462,202 462,213 403,213",Page1_Block9_l1,"405,204 461,204 461,211 405,211",Page1_Block9_l1_w2,"442,204 461,204 461,211 442,211",No..,0.5525000095
0000223278.tif,1000,762,Page1_Block10,language,en-US,"514,195 563,195 563,208 514,208",Page1_Block10_l1,"517,196 558,196 558,206 517,206",Page1_Block10_l1_w1,"517,197 523,197 523,205 517,205",N,0.3199999928
0000223278.tif,1000,762,Page1_Block10,language,en-US,"514,195 563,195 563,208 514,208",Page1_Block10_l1,"517,196 558,196 558,206 517,206",Page1_Block10_l1_w2,"532,196 558,196 558,206 532,206",I8l6,0.3524999917
0000223278.tif,1000,762,Page1_Block11,language,en-US,"403,223 488,223 488,235 403,235",Page1_Block11_l1,"405,224 488,224 488,233 405,233",Page1_Block11_l1_w1,"405,225 427,225 427,232 405,232",Date,0.2450000048
0000223278.tif,1000,762,Page1_Block11,language,en-US,"403,223 488,223 488,235 403,235",Page1_Block11_l1,"405,224 488,224 488,233 405,233",Page1_Block11_l1_w2,"430,224 450,224 450,233 430,233",(Tax,0.275000006
0000223278.tif,1000,762,Page1_Block11,language,en-US,"403,223 488,223 488,235 403,235",Page1_Block11_l1,"405,224 488,224 488,233 405,233",Page1_Block11_l1_w3,"453,225 488,225 488,233 453,233",Point).,0.241428569
0000223278.tif,1000,762,Page1_Block12,language,en-US,"514,213 571,213 571,226 514,226",Page1_Block12_l1,"518,213 566,213 566,224 518,224",Page1_Block12_l1_w1,"518,213 566,213 566,224 518,224",26.5.02,0.3985714316
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l1,"189,316 355,316 355,326 189,326",Page1_Block13_l1_w1,"189,316 202,316 202,326 189,326",By,0.1400000006
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l1,"189,316 355,316 355,326 189,326",Page1_Block13_l1_w2,"210,316 244,316 244,324 210,324",debit,0.3639999926
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l1,"189,316 355,316 355,326 189,326",Page1_Block13_l1_w3,"252,316 265,316 265,324 252,324",in,0.5149999857
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l1,"189,316 355,316 355,326 189,326",Page1_Block13_l1_w4,"272,317 320,317 320,326 272,326",respect,0.5285714269
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l1,"189,316 355,316 355,326 189,326",Page1_Block13_l1_w5,"329,316 355,316 355,324 329,324",of:-,0.3625000119
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l2,"191,344 390,344 390,355 191,355",Page1_Block13_l2_w1,"191,344 223,344 223,352 191,352",'llalf,0.551666677
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l2,"191,344 390,344 390,355 191,355",Page1_Block13_l2_w2,"231,344 244,344 244,352 231,352",of,0.6999999881
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l2,"191,344 390,344 390,355 191,355",Page1_Block13_l2_w3,"251,344 299,344 299,352 251,352",Counter,0.6714285612
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l2,"191,344 390,344 390,355 191,355",Page1_Block13_l2_w4,"308,344 333,344 333,352 308,352",Deal,0.287499994
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l2,"191,344 390,344 390,355 191,355",Page1_Block13_l2_w5,"343,345 390,345 390,355 343,355",charges,0.3714285791
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w1,"190,358 202,358 202,366 190,366",in,0.2399999946
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w2,"211,356 237,356 237,367 211,367",1981,0.4474999905
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w3,"245,358 258,358 258,366 245,366",in,0.4850000143
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w4,"266,360 306,360 306,366 266,366",excess,0.3466666639
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w5,"315,358 327,358 327,366 315,366",of,0.3300000131
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w6,"336,361 362,361 362,368 336,368",your,0.4449999928
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l3,"190,356 418,356 418,368 190,368",Page1_Block13_l3_w7,"371,358 418,358 418,367 371,367",earlier,0.3400000036
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l4,"189,371 405,371 405,381 189,381",Page1_Block13_l4_w1,"189,371 249,371 249,380 189,380",estimate.,0.4855555594
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l4,"189,371 405,371 405,381 189,381",Page1_Block13_l4_w2,"265,372 300,372 300,380 265,380",Geoff,0.5180000067
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l4,"189,371 405,371 405,381 189,381",Page1_Block13_l4_w3,"308,372 362,372 362,381 308,381",Harper's,0.4399999976
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l4,"189,371 405,371 405,381 189,381",Page1_Block13_l4_w4,"371,373 405,373 405,380 371,380",telex,0.2380000055
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l5,"189,384 319,384 319,395 189,395",Page1_Block13_l5_w1,"189,385 202,385 202,393 189,393",of,0.7549999952
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l5,"189,384 319,384 319,395 189,395",Page1_Block13_l5_w2,"210,384 258,384 258,395 210,395",25/5/82,0.4542857111
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l5,"189,384 319,384 319,395 189,395",Page1_Block13_l5_w3,"265,385 319,385 319,394 265,394",refers*.,0.5537499785
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l6,"370,414 412,414 412,424 370,424",Page1_Block13_l6_w1,"370,414 377,414 377,423 370,423",@,0.2399999946
0000223278.tif,1000,762,Page1_Block13,language,en-US,"189,316 420,316 420,426 189,426",Page1_Block13_l6,"370,414 412,414 412,424 370,424",Page1_Block13_l6_w2,"386,414 412,414 412,424 386,424",1.80,0.3899999857
0000223278.tif,1000,762,Page1_Block16,language,en-US,"588,383 677,383 677,399 588,399",Page1_Block16_l1,"588,385 672,385 672,397 588,397",Page1_Block16_l1_w1,"588,385 672,385 672,397 588,397","US#13,600.00",0.4275000095
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w1,"125,170 150,170 150,180 125,180",Tod,0.5066666603
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w2,"153,169 196,169 196,180 153,180",Bata*,0.3639999926
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w3,"201,172 210,172 210,179 201,179",a,0.150000006
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w4,"213,172 276,172 276,181 213,181","company,",0.5462499857
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w5,"279,172 298,172 298,179 279,179",inc,0.4333333373
0001136521.tif,1000,762,Page1_Block1,language,en-US,"121,164 388,164 388,185 121,185",Page1_Block1_l1,"125,167 383,167 383,183 125,183",Page1_Block1_l1_w6,"301,167 383,167 383,182 301,182",/advertising,0.3166666627
0001136521.tif,1000,762,Page1_Block2,language,en-US,"222,195 241,195 241,203 222,203",Page1_Block2_l1,"222,196 240,196 240,201 222,201",Page1_Block2_l1_w1,"222,196 240,196 240,201 222,201",'JiJI,0.3140000105
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l1,"253,185 381,185 381,193 253,193",Page1_Block3_l1_w1,"253,188 255,188 255,193 253,193",t,0.25
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l1,"253,185 381,185 381,193 253,193",Page1_Block3_l1_w2,"257,186 295,186 295,192 257,192",.».r-YOfk,0.3755555451
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l1,"253,185 381,185 381,193 253,193",Page1_Block3_l1_w3,"337,186 349,186 349,191 337,191",ICC,0.296666652
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l1,"253,185 381,185 381,193 253,193",Page1_Block3_l1_w4,"350,187 358,187 358,191 350,191",so,0.2399999946
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l1,"253,185 381,185 381,193 253,193",Page1_Block3_l1_w5,"361,185 381,185 381,192 361,192",Ul*,0.3799999952
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l2,"253,194 381,194 381,201 253,201",Page1_Block3_l2_w1,"253,195 272,195 272,201 253,201",-aoi,0.4225000143
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l2,"253,194 381,194 381,201 253,201",Page1_Block3_l2_w2,"274,197 276,197 276,199 274,199",•,0.5899999738
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l2,"253,194 381,194 381,201 253,201",Page1_Block3_l2_w3,"279,195 300,195 300,201 279,201",cut-.,0.2680000067
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l2,"253,194 381,194 381,201 253,201",Page1_Block3_l2_w4,"348,196 363,196 363,201 348,201",**-»,0.3625000119
0001136521.tif,1000,762,Page1_Block3,language,en-US,"253,185 386,185 386,203 253,203",Page1_Block3_l2,"253,194 381,194 381,201 253,201",Page1_Block3_l2_w5,"366,195 381,195 381,201 366,201",YT«,0.5099999905
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l1,"398,214 595,214 595,222 398,222",Page1_Block4_l1_w1,"398,215 458,215 458,222 398,222",PRCOuCUCN,0.352222234
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l1,"398,214 595,214 595,222 398,222",Page1_Block4_l1_w2,"465,215 511,215 511,222 465,222",ESTIMATE,0.625
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l1,"398,214 595,214 595,222 398,222",Page1_Block4_l1_w3,"531,214 564,214 564,222 531,222",REPORT,0.2683333457
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l1,"398,214 595,214 595,222 398,222",Page1_Block4_l1_w4,"572,215 595,215 595,222 572,222",AC19,0.3774999976
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l2,"399,225 547,225 547,232 399,232",Page1_Block4_l2_w1,"399,226 439,226 439,232 399,232",HILLINO,0.4199999869
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l2,"399,225 547,225 547,232 399,232",Page1_Block4_l2_w2,"447,225 470,225 470,232 447,232",JYPt,0.6200000048
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l2,"399,225 547,225 547,232 399,232",Page1_Block4_l2_w3,"482,225 547,225 547,232 482,232",PROGRESSIVE,0.3927272856
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w1,"399,235 416,235 416,242 399,242",PIN,0.4199999869
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w2,"423,235 434,235 434,242 423,242",CM,0.2099999934
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w3,"441,235 487,235 487,242 441,242",APR21/7?,0.2700000107
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w4,"494,235 504,235 504,242 494,242",AI,0.2599999905
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w5,"513,235 540,235 540,242 513,242",16.38,0.3540000021
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w6,"554,234 576,234 576,242 554,242",PACE,0.2425000072
0001136521.tif,1000,762,Page1_Block4,language,en-US,"398,213 600,213 600,244 398,244",Page1_Block4_l3,"399,234 589,234 589,242 399,242",Page1_Block4_l3_w7,"585,235 589,235 589,242 585,242",1,0.3300000131
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w1,"95,217 128,217 128,225 95,225",CflENI,0.3816666603
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w2,"142,218 153,218 153,224 142,224",OH,0.25
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w3,"183,216 213,216 213,223 183,223",BkOMN,0.1679999977
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w4,"220,216 224,216 224,223 220,223",6,0.1400000006
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w5,"232,216 290,216 290,223 232,223",WILLIAHSON,0.1669999957
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w6,"298,216 338,216 338,223 298,223",IOBACCC,0.2599999905
0001136521.tif,1000,762,Page1_Block5,language,en-US,"91,214 572,214 572,286 91,286",Page1_Block5_l1,"95,215 367,215 367,225 95,225",Page1_Block5_l1_w7,"345,215 367,215 367,223 345,223",COAP,0.2175000012
